Player,Role,Amount,Team,Age,Year,Nation,Overseas,Mega,id,matches,Innings,Not Outs,Aggregate,Highest Score,Average,30s,50s,100s,4s,6s,Boundary %,Scoring Rate,Top Scored in Innings,Top Scored %,Overs,Balls Bowled,Wickets,3 Wickets in Innings,4 Wickets in Innings,5 Wickets in Innings,Economy Rate,Strike Rate,prog_agg,prog_avg,prog_sr,prog_bowlsr,prog_er,prog_wkts,prog_bowlavg,prog_matches,last_matches,last_inn,last_hs,last_runs,last_avg,last_sr,last_batpercent,overs,last_wkts,last_bowlavg,last_bowlsr,last_bowler,last_bowlpercent,birthyear
KL Rahul,Batsman,11,Kings XI Punjab,26,2018,Indian,0,1,4137,118,109,20,4163,132,46.78,16,33,4,355,168,0.583233245,134.42,36,0.330275229,,,,,,,,,725,30.21,125.65,,,0,,39,14,12,68*,397,44.11,146.49,15.49,2,0,20,10,125,2.57,1992
KL Rahul,Batsman,1,Sunrisers Hyderabad,22,2014,Indian,0,1,4137,118,109,20,4163,132,46.78,16,33,4,355,168,0.583233245,134.42,36,0.330275229,,,,,,,,,20,10,125,,,0,,5,5,2,12,20,10,125,2.57,2,0,20,10,125,2.57,1992
Paras Dogra,Batsman,0.1,Gujarat Lions,32,2016,Indian,0,0,4180,13,12,1,127,41,11.55,1,0,0,4,5,0.362204724,92.03,0,0,,,,,,,,,127,11.55,92.03,,,0,,13,1,1,5,5,5,62.5,3.85,,,,,,,1984
Ishank Jaggi,Batsman,0.1,Kolkata Knight Riders,28,2017,Indian,0,0,4196,7,7,2,76,28,15.2,0,0,0,6,0,0.315789474,78.35,0,0,,,,,,,,,43,10.75,74.14,,,0,,5,3,3,10*,15,7.5,71.43,3.72,2,0,33,33,84.62,21.29,1989
Gurkeerat Singh Mann,Batsman,1.3,Kings XI Punjab,24,2014,Indian,0,1,4212,41,32,8,511,65,19.4,1,2,0,55,11,0.559686888,121.09,0,0,13,78,5,0,0,0,7.46,15.6,194,17.64,131.97,,,0,,16,11,9,31,108,13.5,113.68,6.37,9,0,108,13.5,113.68,6.37,1990
Nic Maddinson,Batsman,0.5,Royal Challengers Bangalore,23,2014,Overseas,1,1,4244,3,3,0,20,12,6.67,0,0,0,4,0,0.8,95.24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991
Jason Roy,Batsman,2,Gujarat Titans,32,2022,Overseas,1,1,4325,21,21,2,614,91,32.32,6,4,0,75,21,0.693811075,138.6,6,0.285714286,,,,,,,,,329,29.91,129.02,,,0,,13,5,5,60,150,30,123.97,20,5,1,150,30,123.97,20,1990
Jason Roy,Batsman,1.5,Delhi Daredevils,28,2018,Overseas,1,1,4325,21,21,2,614,91,32.32,6,4,0,75,21,0.693811075,138.6,6,0.285714286,,,,,,,,,59,29.5,147.5,,,0,,3,3,3,31,59,29.5,147.5,11.94,3,0,59,29.5,147.5,11.94,1990
Jason Roy,Batsman,1.5,Delhi Capitals,30,2020,Overseas,1,0,4325,21,21,2,614,91,32.32,6,4,0,75,21,0.693811075,138.6,6,0.285714286,,,,,,,,,179,29.83,133.58,,,0,,8,5,5,91*,120,30,127.66,13.86,5,1,150,30,123.97,20,1990
Jason Roy,Batsman,1,Gujarat Lions,27,2017,Overseas,1,0,4325,21,21,2,614,91,32.32,6,4,0,75,21,0.693811075,138.6,6,0.285714286,,,,,,,,,329,29.91,129.02,,,0,,13,5,5,60,150,30,123.97,20,5,1,150,30,123.97,20,1990
Travis Head,Batsman,0.5,Royal Challengers Bangalore,23,2016,Overseas,1,0,4386,10,10,3,205,75,40.5,3,1,0,12,8,0.468292683,138.51,2,0.2,8,48,2,0,0,0,10.13,24,,,,,,,,,,,,,,,,,,,,,,1993
Travis Head,Batsman,0.3,Delhi Daredevils,22,2015,Overseas,1,0,4386,10,10,3,205,75,40.5,3,1,0,12,8,0.468292683,138.51,2,0.2,8,48,2,0,0,0,10.13,24,,,,,,,,,,,,,,,,,,,,,,1993
